"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "post"
"St._Francis_NY" "NEC" 13 7 6 0.538461538461538 0.1886 -4.4 72.1 93.5 106.1 0.88124410933082 47.6 49.6 0.959677419354839 18.9 19.7 0.959390862944162 26.1 30.1 29.6 40.9 0.723716381418093 48.3 48.1 30.7 35.3 1902 111 2524 0.489 0 0 0 NA
"St._Francis_PA" "NEC" 15 10 5 0.666666666666667 0.5024 -2 68.7 103.2 103.1 1.00096993210475 48.8 51.3 0.951267056530214 19.6 19.1 1.0261780104712 32.9 29.7 36.2 31.4 1.15286624203822 45.8 50.9 36.6 34.6 1956 65 1758 0.448 1 0 0 NA
"St._John's" "BE" 15 11 4 0.733333333333333 0.8233 0.4 74.6 104.5 91.4 1.14332603938731 46 45.3 1.01545253863135 16.2 24.3 0.666666666666667 33.8 31 35.3 33.3 1.06006006006006 46.9 44 29.2 31.3 1908 113 2944 0.649 30 2 0 NA
"Stanford" "P12" 14 12 2 0.857142857142857 0.8566 0.9 69.3 100.7 86.2 1.16821345707657 55.3 44.2 1.25113122171946 21.5 24.2 0.888429752066116 22.9 25.6 34 24.9 1.36546184738956 53.9 43.9 38.7 29.8 1914 105 2706 0.569 17 2 1 NA
"Stephen_F._Austin" "Slnd" 15 13 2 0.866666666666667 0.6544 0.9 73.4 99.8 94.4 1.05720338983051 53.1 51 1.04117647058824 23 28 0.821428571428571 35.5 24.4 40 57.2 0.699300699300699 53.7 47.1 34.4 38 1987 34 986 0.569 5 0 0 NA
"Stetson" "ASun" 17 7 10 0.411764705882353 0.1939 -7.2 63.8 95.6 108.2 0.88354898336414 48.7 51.7 0.941972920696325 23.6 16.5 1.43030303030303 32.7 29.3 42.5 32.9 1.29179331306991 49.6 49 31.5 36.3 1972 49 1391 0.451 0 0 0 NA
"Stony_Brook" "AE" 18 14 4 0.777777777777778 0.5831 -2.4 69.5 100.9 98 1.02959183673469 49.5 46 1.07608695652174 22.1 17.8 1.24157303370787 29.5 27.7 30.6 24.1 1.26970954356846 45.4 41.1 36.4 35.7 2000 21 635 0.509 1 0 0 NA
"Syracuse" "ACC" 15 8 7 0.533333333333333 0.7605 -3.4 67.7 110.3 99.8 1.10521042084168 52.9 46.9 1.12793176972281 17.7 20.6 0.859223300970874 29.4 32.7 35.3 30.9 1.14239482200647 51.6 47.5 36.3 30.8 1899 120 2930 0.688 40 6 1 NA
"TCU" "B12" 14 11 3 0.785714285714286 0.8105 0.7 67.5 103.9 91.5 1.13551912568306 52.1 46.6 1.11802575107296 19.5 24.3 0.802469135802469 34.1 27.1 23.4 31.2 0.75 48.7 43.7 37.7 34.7 1914 107 2636 0.467 8 0 0 NA
"Temple" "Amer" 14 9 5 0.642857142857143 0.7791 -1.1 71.2 99.1 88.8 1.11599099099099 47.3 44.6 1.06053811659193 17.9 19.4 0.922680412371134 27.5 26.2 30.2 25.1 1.20318725099602 45.8 46.3 33 28.4 1895 124 3017 0.641 33 2 0 NA
"Tennessee" "SEC" 14 9 5 0.642857142857143 0.8154 0.7 66 103 90.5 1.13812154696133 49.3 44.5 1.10786516853933 20.9 20 1.045 30 25.4 33.8 26.2 1.29007633587786 49.2 41.1 33 34.5 1909 111 2721 0.612 22 0 0 NA
"Tennessee_Martin" "OVC" 14 5 9 0.357142857142857 0.2305 -5.4 68.3 104.6 116.2 0.900172117039587 49.7 62.4 0.796474358974359 17.8 16.9 1.05325443786982 30.7 36.6 31.4 26.2 1.19847328244275 49.5 58.2 33.3 45.7 1993 28 915 0.38 0 0 0 NA
"Tennessee_St." "OVC" 15 9 6 0.6 0.469 -2 72.1 100.7 101.8 0.989194499017682 54.7 48 1.13958333333333 24.6 19.1 1.28795811518325 30.8 26 35.2 42.6 0.826291079812207 54.4 44.5 36.8 35.8 1978 43 1218 0.427 2 0 0 NA
"Tennessee_Tech" "OVC" 15 3 12 0.2 0.0954 -9.4 66.9 88.6 107.7 0.822655524605385 44.5 55.5 0.801801801801802 23 20 1.15 27.6 29.7 18.9 28.7 0.658536585365854 44.5 55.6 29.8 36.9 1944 66 1787 0.492 2 0 0 NA
"Texas" "B12" 13 10 3 0.769230769230769 0.7557 0.3 67.1 100.5 91.1 1.10318331503842 51.1 44.6 1.1457399103139 19.8 22.3 0.887892376681614 29.7 31.3 22.4 33.7 0.664688427299703 52.5 43.1 32.8 32 1906 114 2887 0.623 34 3 0 NA
