"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "post"
"Penn_St." "B10" 15 12 3 0.8 0.8878 1.7 72.7 108.6 90.7 1.1973539140022 51.2 45.3 1.13024282560706 17.3 21 0.823809523809524 32.4 27.9 30.9 33.6 0.919642857142857 54.3 42.1 31.1 34.2 1897 124 2677 0.556 9 1 0 NA
"Purdue" "B10" 15 9 6 0.6 0.8925 0.8 64.5 103.5 86.1 1.20209059233449 47.9 44.8 1.06919642857143 17.8 22 0.809090909090909 35 27 25.9 29 0.893103448275862 46.7 46.6 33.2 28.2 1897 122 2855 0.641 31 2 0 NA
"Richmond" "A10" 15 12 3 0.8 0.7914 0.6 67.6 106.4 94.8 1.12236286919831 54.1 47.1 1.14861995753715 15.4 20 0.77 23 29.8 21.3 29.4 0.724489795918367 52 47.9 38.2 30.6 1913 108 2598 0.533 9 0 0 NA
"Rider" "MAAC" 15 9 6 0.6 0.4108 -2.2 72.7 98.7 101.9 0.968596663395486 47.1 50.7 0.928994082840237 20 18.6 1.0752688172043 32.3 23.3 41.4 26.7 1.55056179775281 47.4 48.9 31 35.3 1929 57 1600 0.528 3 0 0 NA
"Rutgers" "B10" 15 12 3 0.8 0.8977 0.7 69.1 105.1 87 1.20804597701149 50.9 44.2 1.15158371040724 20.1 21 0.957142857142857 35 24 31.8 23.5 1.3531914893617 54.2 42.7 28.6 30.9 1914 106 2465 0.507 6 1 0 NA
"Sacramento_St." "BSky" 16 7 9 0.4375 0.4902 -1.9 64.8 92.7 93 0.996774193548387 42.9 42.5 1.00941176470588 20.7 20.7 1 29.9 25.4 36.6 29.2 1.25342465753425 41.9 42.8 30.5 27.9 1992 29 814 0.311 0 0 0 NA
"Saint_Mary's" "WCC" 16 13 3 0.8125 0.8542 1 65.2 113.9 97.7 1.16581371545548 54.5 48.4 1.12603305785124 14.9 18.7 0.796791443850267 26.7 23.8 32.5 27.3 1.19047619047619 50.4 47.9 41.4 33.1 1910 111 2596 0.522 10 0 0 NA
"San_Diego_St." "MWC" 15 15 0 1 0.9413 3.9 66.7 109.7 86.2 1.27262180974478 52.6 42.4 1.24056603773585 16.6 22.6 0.734513274336283 31.3 23.7 28 35.1 0.797720797720798 50.3 43.6 37.8 27.2 1971 50 1491 0.544 12 0 0 NA
"Seton_Hall" "BE" 14 10 4 0.714285714285714 0.8868 1 71 104.2 87.1 1.1963260619977 51.5 43.2 1.19212962962963 19.7 21.8 0.903669724770642 28.3 29.6 34.2 34.7 0.985590778097983 50.9 42.9 34.9 29.2 1909 107 2612 0.583 13 1 0 NA
"South_Dakota_St." "Sum" 18 11 7 0.611111111111111 0.6141 -3.5 68 107.2 102.9 1.04178814382896 54.1 47.9 1.1294363256785 19.2 16.4 1.17073170731707 30.7 28.6 31.2 26.2 1.19083969465649 56.2 47.7 33.9 32.3 2009 12 388 0.644 5 0 0 NA
"Stanford" "P12" 14 12 2 0.857142857142857 0.8566 0.9 69.3 100.7 86.2 1.16821345707657 55.3 44.2 1.25113122171946 21.5 24.2 0.888429752066116 22.9 25.6 34 24.9 1.36546184738956 53.9 43.9 38.7 29.8 1914 105 2706 0.569 17 2 1 NA
"Stephen_F._Austin" "Slnd" 15 13 2 0.866666666666667 0.6544 0.9 73.4 99.8 94.4 1.05720338983051 53.1 51 1.04117647058824 23 28 0.821428571428571 35.5 24.4 40 57.2 0.699300699300699 53.7 47.1 34.4 38 1987 34 986 0.569 5 0 0 NA
"UNC_Greensboro" "SC" 16 12 4 0.75 0.7543 0.8 66.6 100.7 91.3 1.10295728368018 47.7 48.7 0.979466119096509 16.3 25.6 0.63671875 33.2 25.4 23.3 37.4 0.622994652406417 48.7 45.3 31 36.1 1992 29 870 0.475 3 0 0 NA
"VCU" "A10" 15 12 3 0.8 0.8578 0.5 71.4 104.3 89.2 1.16928251121076 50.5 46.4 1.08836206896552 18.8 26.9 0.698884758364312 28 29.7 35.9 28.9 1.24221453287197 48.3 45 35.9 32.7 1974 47 1431 0.649 17 1 0 NA
"Vermont" "AE" 15 10 5 0.666666666666667 0.708 -1.4 67.4 100.7 93.2 1.08047210300429 47.9 43.2 1.1087962962963 17.6 18.3 0.961748633879781 26 25.9 31.2 34.3 0.909620991253644 50.1 41.4 30 30.7 1921 65 1759 0.531 7 0 0 NA
"Villanova" "BE" 14 11 3 0.785714285714286 0.8683 2.3 67.6 112.2 95.2 1.17857142857143 52.6 49.1 1.07128309572301 16.7 17.8 0.938202247191011 29.2 24 25.2 24.5 1.02857142857143 55.4 49.8 32.9 31.9 1921 100 2726 0.656 39 6 3 NA
"Virginia_Tech" "ACC" 15 11 4 0.733333333333333 0.7694 0.9 65.8 106.4 95.8 1.11064718162839 53.2 47.1 1.12951167728238 14.8 19 0.778947368421053 24.9 25.2 24.7 18.9 1.30687830687831 51 47.4 37 31.2 1909 112 2697 0.547 11 0 0 NA
"Washington" "P12" 15 11 4 0.733333333333333 0.8263 0.5 71 104.2 90.9 1.14631463146315 53.1 42.8 1.24065420560748 20.9 20.7 1.00966183574879 27.5 32.3 41.4 24.6 1.68292682926829 54.6 40.3 33.3 31.1 1896 119 2997 0.603 17 1 0 NA
"West_Virginia" "B12" 14 12 2 0.857142857142857 0.9375 3.5 70.9 104.5 82.6 1.26513317191283 47.3 40.1 1.17955112219451 20.9 21.5 0.972093023255814 38.2 28 39.4 38.9 1.01285347043702 47.8 42.8 30.7 23.5 1904 111 2883 0.618 29 2 0 NA
"Wichita_St." "Amer" 14 13 1 0.928571428571429 0.9082 1.8 70.1 106.3 87.1 1.22043628013777 49.4 44 1.12272727272727 16.8 22.8 0.736842105263158 33.7 24.6 37.2 34.7 1.07204610951009 48.1 42.3 34.4 31.3 1906 113 2802 0.57 15 2 0 NA
"William_&_Mary" "CAA" 14 9 5 0.642857142857143 0.5703 -1.7 69.6 103.5 101 1.02475247524752 56.2 48.2 1.16597510373444 19.6 14.2 1.38028169014085 21.7 23.9 27.3 26.5 1.03018867924528 56 47.9 37.6 32.6 1906 115 2654 0.469 0 0 0 NA
"Wright_St." "Horz" 17 14 3 0.823529411764706 0.6653 -1.1 72.2 103.8 97.8 1.06134969325153 50.6 47.4 1.06751054852321 16.2 18.9 0.857142857142857 32.8 27.2 35.1 22.5 1.56 50.6 47.1 33.6 32 1988 33 986 0.55 3 0 0 NA
"Xavier" "BE" 15 12 3 0.8 0.8484 1 70.2 102.8 88.5 1.16158192090395 49.3 43.2 1.1412037037037 20.2 20.3 0.995073891625616 32 27.2 34.1 31.4 1.0859872611465 51.9 43.9 29.7 27.9 1920 99 2509 0.598 28 0 0 NA
"Yale" "Ivy" 14 10 4 0.714285714285714 0.7951 0 66.9 100.8 89.6 1.125 52.8 42 1.25714285714286 19.7 16.1 1.22360248447205 20.9 24.1 29.8 24.6 1.21138211382114 52.3 43.6 35.6 26.2 1896 125 2976 0.501 5 0 0 NA
