"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"Sacred_Heart" "NEC" 30 10 20 0.333333333333333 0.1908 -16.9 69.6 95.6 108.4 0.881918819188192 48.5 50.9 0.952848722986248 21.5 14.6 1.47260273972603 32.5 22.6 30 33 0.909090909090909 50.3 50.9 29.9 33.9 2000 21 623 0.38 0 0 0 "no_postseason" "no"
"Saint_Joseph's" "A10" 32 16 16 0.5 0.628 -8.1 71.6 104.5 99.9 1.04604604604605 48.8 49.6 0.983870967741935 13.9 16.2 0.858024691358025 23.5 24.5 34.6 24.6 1.40650406504065 47.7 48.9 33.7 33.7 1910 111 2787 0.592 21 1 0 "no_postseason" "no"
"Saint_Louis" "A10" 32 17 15 0.53125 0.5572 -7.9 65.3 101.3 99.3 1.02014098690836 47.1 49.3 0.955375253549696 19.5 18.3 1.0655737704918 33.8 27 45.8 35.1 1.3048433048433 46.6 47.7 32 34.8 1916 104 2668 0.54 10 0 0 "no_postseason" "no"
"Saint_Mary's" "WCC" 36 30 6 0.833333333333333 0.8468 1.3 64.6 118.7 102.3 1.1603128054741 58.7 49.2 1.19308943089431 15.4 15.1 1.01986754966887 28.9 22.8 30.4 24.8 1.2258064516129 57.1 49.5 41 32.3 1910 111 2596 0.522 10 0 0 "no_postseason" "no"
"Saint_Peter's" "MAAC" 32 14 18 0.4375 0.3625 -13 63.9 94.5 99.3 0.95166163141994 49.2 48.4 1.01652892561983 19.6 21.3 0.92018779342723 27.1 28.9 27.3 42.3 0.645390070921986 48.1 47.8 33.7 32.9 1966 55 1555 0.493 3 0 0 "no_postseason" "no"
"Sam_Houston_St." "Slnd" 32 21 11 0.65625 0.3629 -9.4 68.1 101 106.1 0.951932139491046 48.2 51.8 0.930501930501931 18.8 20.1 0.935323383084577 32.5 27.4 34 37.6 0.904255319148936 47 53.1 33.7 33.3 1987 34 997 0.525 2 0 0 "no_postseason" "no"
"Samford" "SC" 30 10 20 0.333333333333333 0.211 -15.3 71.9 106.5 119.4 0.891959798994975 54.4 57.7 0.942807625649913 19.1 18.7 1.02139037433155 24.7 34.8 30.8 28.5 1.08070175438596 53.3 58.3 37.2 38 1973 48 1374 0.437 2 0 0 "no_postseason" "no"
"San_Diego" "WCC" 33 20 13 0.606060606060606 0.6325 -5.7 68 104.1 99.3 1.04833836858006 53.1 46.3 1.14686825053996 19.6 17.8 1.10112359550562 22.4 26.4 39.3 41.9 0.937947494033413 51.7 46.4 36.6 30.7 1980 41 1197 0.5 4 0 0 "no_postseason" "no"
"San_Diego_St." "MWC" 32 22 10 0.6875 0.8486 -1.5 70 110.2 94.9 1.16122233930453 51.7 48.6 1.06378600823045 17 19 0.894736842105263 31.6 25 35.1 29.6 1.18581081081081 52 47.8 34.1 33.2 1971 50 1491 0.544 12 0 0 "R64" "yes"
"San_Francisco" "WCC" 38 22 16 0.578947368421053 0.5476 -7.1 68 101.8 100.1 1.01698301698302 49.4 48.9 1.01022494887526 17.4 17 1.02352941176471 28 25.7 29.3 36.9 0.794037940379404 48.4 48.5 33.8 33.3 1924 93 2413 0.579 16 3 2 "no_postseason" "no"
"San_Jose_St." "MWC" 29 4 25 0.137931034482759 0.213 -18.5 68.3 95.5 106.9 0.893358278765201 48.6 53.2 0.913533834586466 23.6 14.9 1.58389261744966 27.8 24.8 34.2 30.8 1.11038961038961 46.2 53.3 36.2 35.4 1938 70 1904 0.399 2 0 0 "no_postseason" "no"
"Santa_Clara" "WCC" 29 11 18 0.379310344827586 0.2557 -12.5 65.7 99 108.6 0.911602209944751 48.6 56.6 0.858657243816254 17.2 18.9 0.91005291005291 23.7 27.1 30.2 32.4 0.932098765432099 47.1 55.1 33.8 40 1909 111 2616 0.574 11 1 0 "no_postseason" "no"
"Seattle" "WAC" 31 20 11 0.645161290322581 0.4744 -7.4 68.5 103.7 104.6 0.991395793499044 51 47.2 1.08050847457627 19.6 15.5 1.26451612903226 29.7 27.9 34.5 41 0.841463414634146 47.4 44.8 37.2 34.5 1953 38 1052 0.588 11 1 0 "no_postseason" "no"
"Seton_Hall" "BE" 34 22 12 0.647058823529412 0.8902 2.5 70.7 117.8 98.2 1.19959266802444 52.9 50.3 1.05168986083499 17.8 17.7 1.00564971751412 34.3 28.4 35.2 29.8 1.18120805369128 52 50 36.5 33.8 1909 107 2612 0.583 13 1 0 "R32" "yes"
"Siena" "MAAC" 32 8 24 0.25 0.209 -18.6 67.3 96.1 107.8 0.891465677179963 48.2 50.9 0.946954813359529 21.7 15.6 1.39102564102564 31.4 29 36.4 42.1 0.864608076009501 44.7 50.1 36.7 34.9 1939 62 1692 0.546 6 0 0 "no_postseason" "no"
"SIU_Edwardsville" "OVC" 30 9 21 0.3 0.2029 -15.3 70.5 98.8 111.3 0.887690925426775 47.8 54.1 0.88354898336414 19.4 17.5 1.10857142857143 29.3 29.4 33 45.9 0.718954248366013 47.2 53.5 32.4 36.8 2011 20 278 0.311 0 0 0 "no_postseason" "no"
"SMU" "Amer" 33 17 16 0.515151515151515 0.7041 -6.3 65.4 107.6 99.8 1.07815631262525 52 49.5 1.05050505050505 18 21.7 0.829493087557604 32.7 31.7 30.5 30.6 0.996732026143791 48.7 48.6 37.9 33.8 1917 104 2583 0.525 12 1 0 "no_postseason" "no"
"South_Alabama" "SB" 30 14 16 0.466666666666667 0.3748 -12.4 71.4 96.8 101.2 0.956521739130435 48.4 47.3 1.02325581395349 20.9 18.4 1.13586956521739 25.7 29.6 37.7 38 0.992105263157895 48.3 47.9 32.3 30.9 1972 49 1420 0.56 8 0 0 "no_postseason" "no"
"South_Carolina" "SEC" 32 17 15 0.53125 0.759 -3.1 69.8 104.7 94.8 1.10443037974684 46.2 49.3 0.93711967545639 19.7 21 0.938095238095238 33.6 27.5 42.8 43.1 0.993039443155452 43.5 48.7 33.8 33.5 1909 112 2695 0.532 9 1 0 "no_postseason" "no"
"South_Carolina_St." "MEAC" 30 10 20 0.333333333333333 0.0779 -17.3 71.9 96.1 119.2 0.806208053691275 46.7 56.5 0.826548672566372 18.5 18.9 0.978835978835979 29.4 32.8 35.9 33.6 1.06845238095238 45.7 57.8 32.7 36.3 1972 49 1431 0.484 5 0 0 "no_postseason" "no"
"South_Dakota" "Sum" 31 26 5 0.838709677419355 0.7458 -1.8 71.7 108.3 98.6 1.09837728194726 52.1 48.4 1.07644628099174 15.7 19.9 0.78894472361809 29.4 27.1 35.7 29.7 1.2020202020202 51.9 47.1 35 33.7 2009 12 385 0.642 5 0 0 "no_postseason" "no"
"South_Dakota_St." "Sum" 31 28 3 0.903225806451613 0.7989 0.6 71.5 113.2 100.4 1.12749003984064 54.3 50 1.086 14 14.2 0.985915492957746 24.6 23.3 35.4 25.6 1.3828125 50.7 49.8 39.3 33.6 2009 12 388 0.644 5 0 0 "R64" "yes"
"South_Florida" "Amer" 32 10 22 0.3125 0.2749 -14.9 65.8 98.9 107.6 0.91914498141264 48 51.1 0.939334637964775 21.4 16.5 1.2969696969697 28.8 30.6 33.1 32.6 1.01533742331288 44.8 52 36.1 33 1974 47 1377 0.458 3 0 0 "no_postseason" "no"
